Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
F,Ford Motor Company,5.65,0.02,0.36%,5.73,5.5,76656398,5/22/20
GE,General Electric Company,6.41,-0.07,-1.08%,6.48,6.27,69586094,5/22/20
BABA,Alibaba Group Holding,199.7,-12.46,-5.87%,204.88,198.99,51979203,5/22/20
BAC,Bank of America Corp,22.66,-0.24,-1.05%,22.95,22.46,48106996,5/22/20
UAL,United Continental Holdings,25.4,-0.44,-1.70%,26.58,24.67,45062000,5/22/20
AMD,Adv Micro Devices,55.17,0.52,0.95%,55.37,53.78,43524102,5/22/20
SIRI,Sirius XM Holdings,5.3,0.11,2.12%,5.34,5.17,39030000,5/22/20
DAL,Delta Air Lines Inc,22.69,-0.47,-2.03%,23.4,22.23,37139301,5/22/20
FB,Facebook Inc,234.91,3.52,1.52%,235.99,228.74,33925500,5/22/20
ITUB,Itau Unibanco Banco Holding S.A.,4.08,0.01,0.25%,4.2,3.96,31991701,5/22/20
WFC,Wells Fargo & Company,24.17,-0.29,-1.19%,24.49,23.92,30415201,5/22/20
CCL,Carnival Corp,14.46,-0.14,-0.96%,15.18,14.15,29208000,5/22/20
MRNA,Moderna Inc,69,1.95,2.91%,70.6,67.14,28912600,5/22/20
HPE,Hewlett Packard Enterprise Comp,9.17,-1.19,-11.49%,9.66,9.03,28856500,5/22/20
BSX,Boston Scientific Corp,35.91,1.12,3.22%,36.32,35.27,28426299,5/22/20
T,AT&T Inc,29.88,0.11,0.37%,29.91,29.42,26638201,5/22/20
OXY,Occidental Petroleum Corp,14.13,-0.12,-0.84%,14.23,13.67,26334201,5/22/20
NVDA,Nvidia Corp,361.05,10.04,2.86%,363.72,348.53,25969102,5/22/20
PDD,Pinduoduo Inc ADR,68.7,8.7,14.50%,69.21,60.13,25121000,5/22/20
VALE,Vale S.A.,8.98,-0.15,-1.64%,9.15,8.89,23412801,5/22/20
PBR,Petroleo Brasileiro S.A. Petrobras,7.06,-0.12,-1.67%,7.13,6.82,23153400,5/22/20
C,Citigroup Inc,44.1,-0.9,-2.00%,45.04,43.69,22631701,5/22/20
JD,Jd.com Inc Ads,49.9,-2.67,-5.08%,51.09,49.33,22601799,5/22/20
VER,Vereit Inc,5.45,0.14,2.64%,5.47,5.2,22588400,5/22/20
BA,Boeing Company,137.53,-1.47,-1.06%,141.08,135.78,21098801,5/22/20
FCX,Freeport-Mcmoran Inc,8.74,-0.16,-1.80%,8.89,8.6,21058801,5/22/20
MSFT,Microsoft Corp,183.51,0.08,0.04%,184.46,182.54,20826801,5/22/20
MGM,MGM Resorts International,15.9,-0.09,-0.56%,16,15.27,20793201,5/22/20
